"","nsp","hom","cm","my"
"1",3.11111111111111,2.09090909090909,3,2.8
"2",2.55555555555556,1.72727272727273,3.71428571428571,3.6
"3",3,2.09090909090909,3.57142857142857,1.8
"4",3.11111111111111,2.72727272727273,4,2.5
"5",2,2.18181818181818,4,3.1
"6",4.33333333333333,4,3.42857142857143,1.7
"7",3,2.90909090909091,4,2.2
"8",2.55555555555556,2.18181818181818,3,2.2
"9",2.88888888888889,3,4,1.8
"10",3.55555555555556,3,5,2.4
"11",2.77777777777778,2.36363636363636,3.85714285714286,2.5
"12",4,3.27272727272727,4,3
"13",3,1.54545454545455,2.85714285714286,3
"14",3,3,2.57142857142857,1.4
"15",2.11111111111111,1,1,2.9
"16",3.77777777777778,3.45454545454545,2,1.9
"17",2,2.09090909090909,3.14285714285714,1.9
"18",4.88888888888889,2.09090909090909,2,1.8
"19",3,2.18181818181818,3,2.4
"20",4,2.72727272727273,3.85714285714286,1.8
"21",2.11111111111111,2.36363636363636,4,2.5
"22",3.55555555555556,1.18181818181818,5,2.9
"23",2.22222222222222,2,3,1.8
"24",2.77777777777778,2.18181818181818,4.14285714285714,3.8
"25",3.77777777777778,4.45454545454545,4,3.4
"26",3,2.18181818181818,5,1.8
"27",4.55555555555556,3.81818181818182,5,3.1
"28",3.55555555555556,3.18181818181818,4.57142857142857,3.6
"29",3,3.90909090909091,3.42857142857143,3
"30",2.77777777777778,1.72727272727273,4.42857142857143,2.3
"31",3.44444444444444,2.27272727272727,5,1.2
"32",5,3.81818181818182,4.71428571428571,2.6
"33",2,2.27272727272727,5,2.6
"34",4,3.45454545454545,4.42857142857143,3.8
"35",3.55555555555556,3.90909090909091,4.28571428571429,3.4
"36",3.11111111111111,2.36363636363636,3.28571428571429,1.8
"37",4,2.72727272727273,3.42857142857143,3.2
"38",2.11111111111111,1.18181818181818,3,1.3
"40",4.66666666666667,2.72727272727273,4.42857142857143,1.8
"41",3,3.18181818181818,3,2.4
"42",3.77777777777778,3.54545454545455,1,1.8
"43",3.44444444444444,2.45454545454545,3,1.8
"44",1.33333333333333,1,5,1.2
"45",4,3.27272727272727,1,2.9
"46",4.22222222222222,2.09090909090909,4.71428571428571,2.4
"47",2,3.09090909090909,3,1.8
"48",3.88888888888889,3.54545454545455,2,3
"50",1,1,5,1.8
"51",2.88888888888889,1.63636363636364,3,3.3
"52",2.55555555555556,2,3.57142857142857,2.3
"53",2.88888888888889,3.18181818181818,3.28571428571429,3.4
"54",2.77777777777778,3.09090909090909,3,2.3
"55",4,2.36363636363636,4,3.2
"56",5,3.18181818181818,4.42857142857143,3.1
"57",3.33333333333333,3.18181818181818,4.14285714285714,2.9
"58",2.22222222222222,3,1,1.8
"59",3,3,4,2.4
"60",3,3,4,3.8
"61",3.66666666666667,3,3,4
"62",4.22222222222222,3.72727272727273,4.85714285714286,3.5
"63",5,3.54545454545455,2.14285714285714,2.4
"64",4.22222222222222,3.54545454545455,3.28571428571429,2.7
"65",2.44444444444444,3,3.85714285714286,2.6
"66",4,2.54545454545455,3,1.8
"67",3.66666666666667,3.90909090909091,4,2.7
"68",1,2,4,3.6
"69",3,1.54545454545455,1,1.8
"70",3.22222222222222,2.90909090909091,4,2.4
"71",3.88888888888889,3,4,1.6
"72",1,1,4,3
"73",4.22222222222222,1.90909090909091,3.71428571428571,3
"74",4,1,3,1.8
"75",1.55555555555556,2.36363636363636,4.42857142857143,2
"76",3.66666666666667,2.45454545454545,3,2.2
"77",2.88888888888889,2.09090909090909,3,1.1
"79",5,1.63636363636364,4.57142857142857,4.2
"80",1,1.72727272727273,1,1.8
"81",5,3.90909090909091,5,3.1
"82",1,3,4,1.8
"84",2.22222222222222,2.36363636363636,3,2.5
"85",3,3,3,3
"86",3,3,3.14285714285714,2.9
"88",3.66666666666667,3.54545454545455,2,3
"89",3.22222222222222,2.81818181818182,2.85714285714286,3
"90",3,3.90909090909091,5,3
"91",3.88888888888889,3.09090909090909,5,2.9
"92",1.66666666666667,1,4,1.8
"93",5,2,5,2.4
"94",2.88888888888889,1.36363636363636,5,1.8
"95",4,2.18181818181818,2,3.4
"97",4.11111111111111,1.90909090909091,3,1.8
"98",3,1,5,3.1
"100",3.22222222222222,3.18181818181818,4,1.5
"102",3.22222222222222,2.81818181818182,4.57142857142857,2.7
"104",4.55555555555556,3.18181818181818,4,3.2
"105",3.44444444444444,2.09090909090909,4,3.3
"106",2.77777777777778,2.36363636363636,2.71428571428571,2.7
"107",3.55555555555556,2.63636363636364,3.57142857142857,3
"108",4.77777777777778,2.36363636363636,4.42857142857143,1.9
"109",5,3.18181818181818,4,3.6
"110",2.11111111111111,2.36363636363636,3,2.2
"111",5,3.72727272727273,5,2.9
"112",4.22222222222222,2.54545454545455,2.28571428571429,2.4
"113",4.66666666666667,3.90909090909091,5,3.2
